-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.030,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.028,  0.214
-183.800, 80.195, 0.035,  0.247
-183.799, 80.191, 0.156,  0.280
-183.797, 80.183, 0.241,  0.313
-183.794, 80.172, 0.330,  0.346
-183.789, 80.159, 0.401,  0.379
-183.782, 80.143, 0.471,  0.412
-183.774, 80.126, 0.522,  0.445
-183.762, 80.106, 0.619,  0.478
-183.748, 80.085, 0.645,  0.511
-183.734, 80.064, 0.675,  0.544
-183.718, 80.041, 0.712,  0.577
-183.702, 80.018, 0.746,  0.610
-183.686, 79.993, 0.791,  0.643
-183.669, 79.967, 0.835,  0.676
-183.652, 79.940, 0.878,  0.709
-183.635, 79.912, 0.921,  0.742
-183.617, 79.882, 0.961,  0.775
-183.599, 79.852, 0.999,  0.808
-183.581, 79.820, 1.032,  0.841
-183.562, 79.787, 1.063,  0.874
-183.544, 79.754, 1.089,  0.907
-183.525, 79.720, 1.111,  0.940
-183.507, 79.686, 1.128,  0.973
-183.488, 79.651, 1.142,  1.006
-183.469, 79.616, 1.152,  1.039
-183.450, 79.581, 1.159,  1.072
-183.432, 79.546, 1.162,  1.105
-183.413, 79.511, 1.164,  1.138
-183.394, 79.476, 1.163,  1.171
-183.376, 79.441, 1.157,  1.204
-183.357, 79.406, 1.155,  1.237
-183.339, 79.372, 1.147,  1.270
-183.320, 79.338, 1.144,  1.303
-183.302, 79.303, 1.136,  1.336
-183.284, 79.270, 1.133,  1.369
-183.266, 79.236, 1.129,  1.402
-183.248, 79.202, 1.126,  1.435
-183.230, 79.169, 1.122,  1.468
-183.212, 79.135, 1.120,  1.501
-183.194, 79.102, 1.118,  1.534
-183.176, 79.069, 1.116,  1.567
-183.158, 79.036, 1.115,  1.600
-183.140, 79.003, 1.115,  1.633
-183.122, 78.969, 1.116,  1.666
-183.105, 78.936, 1.116,  1.699
-183.087, 78.903, 1.118,  1.732
